#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 06.01.2021 00:00 - 06.01.2021 23:59 *
1;[DEL20190516]г. СПб, пр. Медиков, д.10, к.1 лит. А, к ул. Профессора Попова;F308;;;2923;0,1%
;;Направление не указано;2923;100,0%
2;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от Ивановской ул. к Межевой ул., зона контроля 1;KPA-0101-03;КПА;;2634;0,1%
;;Направление не указано;3;0,1%
;;Встречное направление;1700;64,5%
;;Попутное направление;931;35,3%
3;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от ул. Индустриализации к Межевой ул., зона контроля 1;KPA-0101-02;КПА;;5861;0,2%
;;Встречное направление;3517;60,0%
;;Попутное направление;2344;40,0%
4;Колпино, Вознесенское ш. д.34, уч. Межевой ул. от Ленинградской ул. к Возненсенскому ш.(ранее Лагерное ш.), зона контроля 1;KPA-0101-01;КПА;;3129;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;1969;62,9%
;;Попутное направление;1159;37,0%
5;Колпино, Дорожная ул. д.27 (перекрёсток Петрозаводского ш. и ул. Дорожной), уч. Петрозаводского ш. от Мгинской ул. к Дорожной ул., зона контроля 1,2;KPA-0108-01;КПА;;9090;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;5085;55,9%
;;Попутное направление;4003;44,0%
6;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Загородной ул. от Саперного пер. к Межевой ул., зона контроля 1,2;KPA-0102-01;КПА;;6142;0,2%
;;Направление не указано;1;0,0%
;;Встречное направление;3622;59,0%
;;Попутное направление;2519;41,0%
7;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Межевой ул. от ул. Севастьянова к Загородной ул., зона контроля 1,2;KPA-0102-02;КПА;;5931;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;3132;52,8%
;;Попутное направление;2797;47,2%
8;Колпино, Колпинское ш. (~250 м от ул. Софийской в направлении г.Колпино), уч. Колпинского ш. от Фидерной ул. к Софийской ул., зона контроля 1;KPA-0100-01;КПА;;12390;0,3%
;;Направление не указано;1;0,0%
;;Встречное направление;7073;57,1%
;;Попутное направление;5316;42,9%
