#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 03.01.2021 00:00 - 03.01.2021 23:59 *
1;[DEL20190516]г. СПб, пр. Медиков, д.10, к.1 лит. А, к ул. Профессора Попова;F308;;;3287;0,1%
;;Направление не указано;3287;100,0%
2;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от Ивановской ул. к Межевой ул., зона контроля 1;KPA-0101-03;КПА;;2380;0,1%
;;Встречное направление;1583;66,5%
;;Попутное направление;797;33,5%
3;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от ул. Индустриализации к Межевой ул., зона контроля 1;KPA-0101-02;КПА;;4767;0,2%
;;Направление не указано;3;0,1%
;;Встречное направление;2796;58,7%
;;Попутное направление;1968;41,3%
4;Колпино, Вознесенское ш. д.34, уч. Межевой ул. от Ленинградской ул. к Возненсенскому ш.(ранее Лагерное ш.), зона контроля 1;KPA-0101-01;КПА;;2575;0,1%
;;Направление не указано;5;0,2%
;;Встречное направление;1679;65,2%
;;Попутное направление;891;34,6%
5;Колпино, Дорожная ул. д.27 (перекрёсток Петрозаводского ш. и ул. Дорожной), уч. Петрозаводского ш. от Мгинской ул. к Дорожной ул., зона контроля 1,2;KPA-0108-01;КПА;;8079;0,3%
;;Направление не указано;2;0,0%
;;Встречное направление;3928;48,6%
;;Попутное направление;4149;51,4%
6;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Загородной ул. от Саперного пер. к Межевой ул., зона контроля 1,2;KPA-0102-01;КПА;;4622;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;3040;65,8%
;;Попутное направление;1581;34,2%
7;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Межевой ул. от ул. Севастьянова к Загородной ул., зона контроля 1,2;KPA-0102-02;КПА;;4499;0,1%
;;Направление не указано;2;0,0%
;;Встречное направление;2352;52,3%
;;Попутное направление;2145;47,7%
8;Колпино, Колпинское ш. (~250 м от ул. Софийской в направлении г.Колпино), уч. Колпинского ш. от Фидерной ул. к Софийской ул., зона контроля 1;KPA-0100-01;КПА;;11255;0,4%
;;Направление не указано;1;0,0%
;;Встречное направление;7145;63,5%
;;Попутное направление;4109;36,5%
