#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 05.01.2021 00:00 - 05.01.2021 23:59 *
1;[DEL20190516]г. СПб, пр. Медиков, д.10, к.1 лит. А, к ул. Профессора Попова;F308;;;2703;0,1%
;;Направление не указано;2703;100,0%
2;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от Ивановской ул. к Межевой ул., зона контроля 1;KPA-0101-03;КПА;;2662;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;1721;64,7%
;;Попутное направление;940;35,3%
3;Колпино, Вознесенское ш. д.34, уч. Вознесенского ш.(ранее Лагерное ш.) от ул. Индустриализации к Межевой ул., зона контроля 1;KPA-0101-02;КПА;;5757;0,2%
;;Встречное направление;3482;60,5%
;;Попутное направление;2275;39,5%
4;Колпино, Вознесенское ш. д.34, уч. Межевой ул. от Ленинградской ул. к Возненсенскому ш.(ранее Лагерное ш.), зона контроля 1;KPA-0101-01;КПА;;2968;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;1903;64,1%
;;Попутное направление;1063;35,8%
5;Колпино, Дорожная ул. д.27 (перекрёсток Петрозаводского ш. и ул. Дорожной), уч. Петрозаводского ш. от Мгинской ул. к Дорожной ул., зона контроля 1,2;KPA-0108-01;КПА;;8751;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;4800;54,9%
;;Попутное направление;3949;45,1%
6;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Загородной ул. от Саперного пер. к Межевой ул., зона контроля 1,2;KPA-0102-01;КПА;;5706;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;3439;60,3%
;;Попутное направление;2265;39,7%
7;Колпино, Загородная ул. (перекресток ул. Загородной и ул. Межевой), уч. Межевой ул. от ул. Севастьянова к Загородной ул., зона контроля 1,2;KPA-0102-02;КПА;;5506;0,2%
;;Встречное направление;2907;52,8%
;;Попутное направление;2599;47,2%
8;Колпино, Колпинское ш. (~250 м от ул. Софийской в направлении г.Колпино), уч. Колпинского ш. от Фидерной ул. к Софийской ул., зона контроля 1;KPA-0100-01;КПА;;12274;0,3%
;;Направление не указано;1;0,0%
;;Встречное направление;7085;57,7%
;;Попутное направление;5188;42,3%
9;Колпино, Оборонная ул. д.6 к.2 (перекрёсток ул. Оборонной и ул. Тверской), уч. Оборонной ул. от Тверской ул. к ул. Анисимова, зона контроля 1,2,3;KPA-0107-01;КПА;;5927;0,2%
;;Направление не указано;2;0,0%
;;Встречное направление;5925;100,0%
10;Колпино, Оборонная ул. д.6 к.2 (перекрёсток ул. Оборонной и ул. Тверской), уч. Тверской ул. от Оборонной ул. к ул. Ижорского батальона, зона контроля 1,2;KPA-0107-02;КПА;;5998;0,2%
;;Встречное направление;4125;68,8%
;;Попутное направление;1873;31,2%
11;Координаты: (30.18748800,59.83299500);;PA0148;ГАС ФН ПДД;;4;0,0%
;;Направление не указано;4;100,0%
12;Координаты: (30.30786824,59.83762200);;PA0135;ГАС ФН ПДД;;3;0,0%
;;Направление не указано;3;100,0%
13;Координаты: (30.30820000,59.83522300);;PA0117;ГАС ФН ПДД;;1;0,0%
;;Направление не указано;1;100,0%
14;Координаты: (30.30847000,59.84195200);;PA0142;ГАС ФН ПДД;;2;0,0%
;;Направление не указано;2;100,0%
15;Координаты: (30.31984360,59.87883220);;PA0132;ГАС ФН ПДД;;1;0,0%
;;Направление не указано;1;100,0%
